(670.9552001953125, 607.9878616333008)
(671.2853240966797, 608.8684415817261)
(674.3998718261719, 607.7890348434448)
(670.4793548583984, 608.0408191680908)
(670.4360198974609, 610.6798982620239)
(670.6591033935547, 610.8605718612671)
(669.6343231201172, 612.9425668716431)
(669.1192626953125, 612.515344619751)
(668.2726287841797, 613.646936416626)
(666.7545318603516, 612.6953315734863)
(669.0308380126953, 614.5970392227173)
(667.2854614257812, 612.4844026565552)
(671.2799072265625, 613.0660343170166)
(668.2778167724609, 614.8503255844116)
(669.9908447265625, 614.4541311264038)
(670.3629302978516, 613.0124759674072)
(667.4911499023438, 614.3296337127686)
(669.0000915527344, 612.4699401855469)
(669.8487854003906, 613.6736726760864)
(667.8600311279297, 614.663257598877)
(669.5018005371094, 613.8893222808838)
(671.0991668701172, 613.3044719696045)
(669.884033203125, 613.2303142547607)
(669.7560882568359, 615.24986743927)
(667.0481109619141, 615.151891708374)
(667.5899505615234, 614.066219329834)
(669.9008178710938, 615.4662895202637)
