(609.1574096679688, 536.8345642089844)
(609.9020767211914, 538.9059162139893)
(611.2531661987305, 537.456579208374)
(610.2743530273438, 538.5408782958984)
(610.5588912963867, 539.4858312606812)
(610.1097106933594, 539.5421361923218)
(609.8944091796875, 542.4125289916992)
(610.0619125366211, 541.5590715408325)
(607.9464721679688, 541.464786529541)
(607.0945358276367, 541.2419271469116)
(610.2787017822266, 544.0221977233887)
(610.5746078491211, 542.8740835189819)
(610.8721923828125, 543.6223125457764)
(607.8012847900391, 542.5004196166992)
(610.8514785766602, 543.6575031280518)
(610.0605773925781, 542.0457744598389)
(607.998161315918, 543.2279205322266)
(609.4514846801758, 542.0953845977783)
(609.9923324584961, 542.6508808135986)
(609.833869934082, 543.5583686828613)
(609.7416687011719, 542.989912033081)
(611.5444564819336, 544.0328407287598)
(610.8301162719727, 543.8121700286865)
(610.3985977172852, 545.7667064666748)
(608.2071685791016, 543.0899047851562)
(609.4608688354492, 544.8392629623413)
(608.210563659668, 544.039363861084)
