(61.925086975097656, 2.5380992889404297)
(61.32896423339844, 3.179190158843994)
(60.81890106201172, 2.151796817779541)
(61.54285430908203, 2.6926374435424805)
(61.67549133300781, 2.7284932136535645)
(61.703224182128906, 2.358992099761963)
(61.81070327758789, 2.37229585647583)
(61.697444915771484, 2.102937698364258)
(61.371116638183594, 2.7979302406311035)
(61.436920166015625, 3.231074810028076)
(61.7945671081543, 3.0754852294921875)
(61.43198013305664, 2.861616611480713)
(61.579341888427734, 3.1633973121643066)
(62.15578079223633, 2.742033004760742)
(61.808128356933594, 2.7973508834838867)
(61.76332473754883, 2.685685157775879)
(61.9523811340332, 2.3580479621887207)
(61.753482818603516, 3.1845974922180176)
(62.25473403930664, 3.3673739433288574)
(61.37815475463867, 2.933070659637451)
(62.059879302978516, 2.8289151191711426)
(61.22873306274414, 2.3456239700317383)
(61.445274353027344, 2.696199417114258)
(61.113338470458984, 2.507479190826416)
(61.529197692871094, 3.1151390075683594)
(62.01154708862305, 2.9224276542663574)
(61.69645309448242, 3.0688977241516113)
