(601.6599273681641, 414.8386001586914)
(601.9082260131836, 414.78190898895264)
(602.3501968383789, 415.4748201370239)
(590.3163146972656, 416.0970067977905)
(590.926399230957, 415.71600437164307)
(590.5018997192383, 416.4932441711426)
(600.8315277099609, 421.76753997802734)
(600.0897979736328, 421.4354610443115)
(599.4565200805664, 421.3911724090576)
(591.6448593139648, 421.4772605895996)
(589.1785430908203, 423.64667415618896)
(589.5349502563477, 423.198938369751)
(594.8064041137695, 419.9101209640503)
(594.8468780517578, 419.713397026062)
(595.2694320678711, 421.1942768096924)
(595.6706237792969, 418.2701539993286)
(594.7733306884766, 418.2490396499634)
(595.0032424926758, 418.1396484375)
(595.0033569335938, 420.9305191040039)
(593.477668762207, 423.0410957336426)
(594.2691040039062, 421.5966510772705)
(593.8557815551758, 423.30227851867676)
(599.1732025146484, 419.77163314819336)
(600.367431640625, 421.20710849761963)
(596.3021850585938, 421.36847019195557)
(587.9886245727539, 423.00208568573)
(588.3625030517578, 421.2838840484619)
