(576.2453460693359, 418.4258508682251)
(576.1147689819336, 419.5143127441406)
(575.7278442382812, 420.47518730163574)
(570.1700592041016, 419.01422023773193)
(572.4860763549805, 418.91332626342773)
(571.3209533691406, 420.2028465270996)
(576.1672973632812, 425.8298635482788)
(576.785888671875, 424.51257705688477)
(575.3287506103516, 425.1357078552246)
(572.0302200317383, 424.4373035430908)
(571.0584259033203, 425.84973335266113)
(570.6139373779297, 426.41462802886963)
(573.1574249267578, 423.6395072937012)
(573.1813812255859, 423.6884307861328)
(574.4624328613281, 426.0713481903076)
(573.7725067138672, 422.40487575531006)
(572.9629516601562, 423.370041847229)
(572.8754425048828, 422.2280216217041)
(573.3829879760742, 425.079402923584)
(572.8190994262695, 425.5928421020508)
(572.8763961791992, 425.6536531448364)
(572.5564193725586, 426.91051483154297)
(574.8703002929688, 424.0771150588989)
(574.1074371337891, 426.11005783081055)
(572.8036499023438, 425.4467582702637)
(569.415397644043, 425.58786392211914)
(569.7243118286133, 424.69754219055176)
