(694.4540405273438, 518.530011177063)
(693.3354949951172, 518.3129024505615)
(694.1271209716797, 516.6702747344971)
(692.8429412841797, 519.6976089477539)
(692.9668426513672, 519.7260189056396)
(692.9383850097656, 519.3111991882324)
(691.6310882568359, 520.1442289352417)
(692.5486755371094, 519.8216342926025)
(692.818603515625, 519.2561388015747)
(691.5804290771484, 520.2890682220459)
(690.0557708740234, 520.0127792358398)
(691.4254760742188, 519.6404886245728)
(691.5724182128906, 520.3750705718994)
(691.1955261230469, 520.250358581543)
(690.1970672607422, 522.1201801300049)
(691.9438171386719, 520.8533620834351)
(693.7058258056641, 519.0154266357422)
(692.9313659667969, 520.4651069641113)
(691.0626983642578, 520.9481191635132)
(690.9073638916016, 520.9812498092651)
(691.6197204589844, 519.7131013870239)
(692.1517944335938, 519.8394870758057)
(691.2097930908203, 520.1987314224243)
(692.0632934570312, 520.624623298645)
(690.1798248291016, 520.8431053161621)
(691.6876983642578, 520.170407295227)
(690.0800323486328, 521.5666151046753)
