(659.3505859375, 413.6007499694824)
(661.6184997558594, 419.3429946899414)
(735.3547668457031, 395.22770404815674)
(743.1006622314453, 401.34408473968506)
(732.7619171142578, 409.6558427810669)
(726.8746948242188, 416.2203025817871)
(725.8908843994141, 415.219087600708)
(741.1579895019531, 388.5400342941284)
(756.7019653320312, 355.9831666946411)
(736.8153381347656, 354.81269359588623)
(733.8055419921875, 353.74762058258057)
(731.4393615722656, 355.3625464439392)
(733.1923675537109, 355.2564597129822)
(734.1871643066406, 356.0243225097656)
(736.2897491455078, 354.89590644836426)
(733.6910247802734, 358.9141774177551)
(733.8726043701172, 358.0146074295044)
(732.0651245117188, 358.4603261947632)
(730.4605865478516, 358.9613628387451)
(729.246826171875, 359.08774852752686)
(729.0311431884766, 359.0247058868408)
(735.9426879882812, 361.44925117492676)
(737.4168395996094, 361.2921380996704)
(736.9795227050781, 362.6365041732788)
(736.6604614257812, 362.77979850769043)
(737.3116302490234, 363.15402030944824)
(736.3333129882812, 364.08090591430664)
(732.3305511474609, 363.9506149291992)
(731.9650268554688, 364.56005573272705)
(731.3242340087891, 364.6034860610962)
(731.0907745361328, 364.49804306030273)
(730.9564208984375, 363.23319911956787)
(731.5521240234375, 364.14660930633545)
(735.2529907226562, 366.1116600036621)
(735.9127044677734, 365.3013753890991)
(736.3931274414062, 365.4203796386719)
(735.194091796875, 366.6933345794678)
(736.6707611083984, 367.09922790527344)
(736.2618255615234, 366.2925910949707)
(733.3541107177734, 365.8909034729004)
(733.9176177978516, 366.22997760772705)
(733.0019378662109, 366.6003370285034)
(731.7940521240234, 367.25865840911865)
(727.078857421875, 364.8502492904663)
(756.7019653320312, 355.9831666946411)
(736.8153381347656, 354.81269359588623)
(733.8055419921875, 353.74762058258057)
(731.4393615722656, 355.3625464439392)
(733.1923675537109, 355.2564597129822)
(734.1871643066406, 356.0243225097656)
(736.2897491455078, 354.89590644836426)
(733.6910247802734, 358.9141774177551)
(733.8726043701172, 358.0146074295044)
(732.0651245117188, 358.4603261947632)
(730.4605865478516, 358.9613628387451)
(729.246826171875, 359.08774852752686)
(729.0311431884766, 359.0247058868408)
(735.9426879882812, 361.44925117492676)
(737.4168395996094, 361.2921380996704)
(736.9795227050781, 362.6365041732788)
(736.6604614257812, 362.77979850769043)
(737.3116302490234, 363.15402030944824)
(736.3333129882812, 364.08090591430664)
(732.3305511474609, 363.9506149291992)
(731.9650268554688, 364.56005573272705)
(731.3242340087891, 364.6034860610962)
(731.0907745361328, 364.49804306030273)
(730.9564208984375, 363.23319911956787)
(731.5521240234375, 364.14660930633545)
(735.2529907226562, 366.1116600036621)
(735.9127044677734, 365.3013753890991)
(736.3931274414062, 365.4203796386719)
(735.194091796875, 366.6933345794678)
(736.6707611083984, 367.09922790527344)
(736.2618255615234, 366.2925910949707)
(733.3541107177734, 365.8909034729004)
(733.9176177978516, 366.22997760772705)
(733.0019378662109, 366.6003370285034)
(731.7940521240234, 367.25865840911865)
(727.078857421875, 364.8502492904663)
