(540.5804824829102, 569.7442817687988)
(536.0883331298828, 573.6228847503662)
(607.7920913696289, 521.9509649276733)
(617.5221252441406, 533.831090927124)
(609.1073226928711, 551.4489984512329)
(600.0189208984375, 558.6789894104004)
(600.7081604003906, 558.8034009933472)
(613.7645721435547, 518.0102634429932)
(644.6017456054688, 527.4349021911621)
(635.3872299194336, 530.0238990783691)
(633.0524444580078, 525.3087902069092)
(631.2557983398438, 526.3955354690552)
(628.3113479614258, 523.4987926483154)
(633.6069107055664, 527.8828525543213)
(633.7093353271484, 526.786150932312)
(631.3132858276367, 531.7946720123291)
(630.0260925292969, 532.5581359863281)
(631.5521240234375, 530.8795881271362)
(628.7595748901367, 531.2850093841553)
(628.8711166381836, 533.6616611480713)
(629.8166275024414, 534.2851781845093)
(629.7586441040039, 533.6495161056519)
(631.4617919921875, 533.0629062652588)
(632.4940872192383, 535.3679323196411)
(630.9694671630859, 533.5340309143066)
(630.3678894042969, 536.5385341644287)
(631.2580108642578, 537.6382827758789)
(628.2556915283203, 536.4023208618164)
(628.9870071411133, 537.2436761856079)
(628.3858871459961, 537.4515581130981)
(626.9156265258789, 539.3646383285522)
(631.6861343383789, 536.966700553894)
(630.2587127685547, 538.1867837905884)
(630.9944534301758, 539.7681713104248)
(629.4134521484375, 537.6869487762451)
(631.0439682006836, 537.6165676116943)
(631.478271484375, 539.1238832473755)
(632.1285247802734, 540.2995491027832)
(633.2207870483398, 540.71861743927)
(629.3627166748047, 538.6385536193848)
(628.8570022583008, 538.9852666854858)
(628.8650894165039, 538.6043071746826)
(628.388786315918, 538.8876342773438)
(621.9649887084961, 537.1265602111816)
(644.6017456054688, 527.4349021911621)
(635.3872299194336, 530.0238990783691)
(633.0524444580078, 525.3087902069092)
(631.2557983398438, 526.3955354690552)
(628.3113479614258, 523.4987926483154)
(633.6069107055664, 527.8828525543213)
(633.7093353271484, 526.786150932312)
(631.3132858276367, 531.7946720123291)
(630.0260925292969, 532.5581359863281)
(631.5521240234375, 530.8795881271362)
(628.7595748901367, 531.2850093841553)
(628.8711166381836, 533.6616611480713)
(629.8166275024414, 534.2851781845093)
(629.7586441040039, 533.6495161056519)
(631.4617919921875, 533.0629062652588)
(632.4940872192383, 535.3679323196411)
(630.9694671630859, 533.5340309143066)
(630.3678894042969, 536.5385341644287)
(631.2580108642578, 537.6382827758789)
(628.2556915283203, 536.4023208618164)
(628.9870071411133, 537.2436761856079)
(628.3858871459961, 537.4515581130981)
(626.9156265258789, 539.3646383285522)
(631.6861343383789, 536.966700553894)
(630.2587127685547, 538.1867837905884)
(630.9944534301758, 539.7681713104248)
(629.4134521484375, 537.6869487762451)
(631.0439682006836, 537.6165676116943)
(631.478271484375, 539.1238832473755)
(632.1285247802734, 540.2995491027832)
(633.2207870483398, 540.71861743927)
(629.3627166748047, 538.6385536193848)
(628.8570022583008, 538.9852666854858)
(628.8650894165039, 538.6043071746826)
(628.388786315918, 538.8876342773438)
(621.9649887084961, 537.1265602111816)
