(564.0081405639648, 497.29236602783203)
(565.1325988769531, 504.8802709579468)
(660.5218505859375, 456.36807918548584)
(669.6419525146484, 472.59175300598145)
(656.6700744628906, 489.1296100616455)
(647.2746276855469, 497.92330741882324)
(647.6902008056641, 498.64025115966797)
(673.9458465576172, 447.8237199783325)
(688.5163879394531, 440.78568935394287)
(673.0593109130859, 443.4067440032959)
(669.6587371826172, 437.7604579925537)
(667.1254730224609, 437.72531032562256)
(665.7418060302734, 437.9891109466553)
(671.2409973144531, 439.7583818435669)
(669.6414947509766, 438.5514307022095)
(668.5172271728516, 442.20404148101807)
(667.0879364013672, 444.0206480026245)
(667.3101806640625, 442.6897144317627)
(666.48681640625, 444.8244524002075)
(664.6305847167969, 444.3180513381958)
(665.9754943847656, 445.8961772918701)
(667.9450988769531, 445.8183717727661)
(669.8862457275391, 448.5796308517456)
(669.0042114257812, 449.2528438568115)
(667.8318023681641, 446.9739103317261)
(668.2234191894531, 448.57697010040283)
(668.0147552490234, 448.74236583709717)
(666.4452362060547, 451.20935440063477)
(663.4998321533203, 449.3558406829834)
(663.9581298828125, 451.9483995437622)
(664.0167999267578, 452.96188831329346)
(664.6755981445312, 450.95259189605713)
(665.1960754394531, 452.34575271606445)
(667.1982574462891, 452.38261699676514)
(665.9178161621094, 451.8452310562134)
(667.9090118408203, 451.7948055267334)
(667.5974273681641, 451.9600296020508)
(667.4479675292969, 453.0953550338745)
(667.7663421630859, 454.0241289138794)
(665.0785827636719, 451.23433113098145)
(664.0105438232422, 453.84706020355225)
(664.8356628417969, 454.58855152130127)
(664.0110778808594, 454.0675163269043)
(656.4215850830078, 453.5739469528198)
(688.5163879394531, 440.78568935394287)
(673.0593109130859, 443.4067440032959)
(669.6587371826172, 437.7604579925537)
(667.1254730224609, 437.72531032562256)
(665.7418060302734, 437.9891109466553)
(671.2409973144531, 439.7583818435669)
(669.6414947509766, 438.5514307022095)
(668.5172271728516, 442.20404148101807)
(667.0879364013672, 444.0206480026245)
(667.3101806640625, 442.6897144317627)
(666.48681640625, 444.8244524002075)
(664.6305847167969, 444.3180513381958)
(665.9754943847656, 445.8961772918701)
(667.9450988769531, 445.8183717727661)
(669.8862457275391, 448.5796308517456)
(669.0042114257812, 449.2528438568115)
(667.8318023681641, 446.9739103317261)
(668.2234191894531, 448.57697010040283)
(668.0147552490234, 448.74236583709717)
(666.4452362060547, 451.20935440063477)
(663.4998321533203, 449.3558406829834)
(663.9581298828125, 451.9483995437622)
(664.0167999267578, 452.96188831329346)
(664.6755981445312, 450.95259189605713)
(665.1960754394531, 452.34575271606445)
(667.1982574462891, 452.38261699676514)
(665.9178161621094, 451.8452310562134)
(667.9090118408203, 451.7948055267334)
(667.5974273681641, 451.9600296020508)
(667.4479675292969, 453.0953550338745)
(667.7663421630859, 454.0241289138794)
(665.0785827636719, 451.23433113098145)
(664.0105438232422, 453.84706020355225)
(664.8356628417969, 454.58855152130127)
(664.0110778808594, 454.0675163269043)
(656.4215850830078, 453.5739469528198)
