(611.0763549804688, 639.3877744674683)
(611.0182189941406, 646.9745206832886)
(670.5820465087891, 594.2298030853271)
(679.1542053222656, 604.5557069778442)
(672.2695159912109, 620.220193862915)
(665.693359375, 626.4125347137451)
(666.2186431884766, 625.7034873962402)
(676.6596221923828, 595.610990524292)
(730.3794097900391, 595.0221920013428)
(721.1470031738281, 594.774227142334)
(719.9880218505859, 587.1219062805176)
(717.8877258300781, 587.5740194320679)
(715.2216339111328, 586.0885906219482)
(720.6466674804688, 590.1086854934692)
(718.7637329101562, 588.5954904556274)
(719.0169525146484, 594.5838117599487)
(716.6425323486328, 595.7676315307617)
(718.243408203125, 594.4850206375122)
(716.3274383544922, 594.1006708145142)
(715.9119415283203, 597.3007392883301)
(716.8777465820312, 596.6769647598267)
(715.6995391845703, 596.8169116973877)
(717.7464294433594, 596.0853338241577)
(717.9823303222656, 598.0916690826416)
(717.5376129150391, 597.8798818588257)
(717.2922515869141, 600.2967023849487)
(717.1877288818359, 601.111364364624)
(713.9662170410156, 601.3615608215332)
(714.9584197998047, 599.8623132705688)
(713.0316162109375, 599.8417568206787)
(713.2930755615234, 603.2625389099121)
(716.0342407226562, 599.6704816818237)
(715.5584716796875, 601.4597082138062)
(716.1785125732422, 603.7805700302124)
(715.4422760009766, 600.2837419509888)
(718.1794738769531, 600.4752731323242)
(718.5456848144531, 602.0521974563599)
(717.0676422119141, 605.3363800048828)
(718.3029937744141, 603.8370895385742)
(714.9142456054688, 602.3542356491089)
(714.0934753417969, 603.4108972549438)
(714.9213409423828, 604.27903175354)
(714.4483947753906, 603.917727470398)
(708.5823059082031, 600.5946636199951)
(730.3794097900391, 595.0221920013428)
(721.1470031738281, 594.774227142334)
(719.9880218505859, 587.1219062805176)
(717.8877258300781, 587.5740194320679)
(715.2216339111328, 586.0885906219482)
(720.6466674804688, 590.1086854934692)
(718.7637329101562, 588.5954904556274)
(719.0169525146484, 594.5838117599487)
(716.6425323486328, 595.7676315307617)
(718.243408203125, 594.4850206375122)
(716.3274383544922, 594.1006708145142)
(715.9119415283203, 597.3007392883301)
(716.8777465820312, 596.6769647598267)
(715.6995391845703, 596.8169116973877)
(717.7464294433594, 596.0853338241577)
(717.9823303222656, 598.0916690826416)
(717.5376129150391, 597.8798818588257)
(717.2922515869141, 600.2967023849487)
(717.1877288818359, 601.111364364624)
(713.9662170410156, 601.3615608215332)
(714.9584197998047, 599.8623132705688)
(713.0316162109375, 599.8417568206787)
(713.2930755615234, 603.2625389099121)
(716.0342407226562, 599.6704816818237)
(715.5584716796875, 601.4597082138062)
(716.1785125732422, 603.7805700302124)
(715.4422760009766, 600.2837419509888)
(718.1794738769531, 600.4752731323242)
(718.5456848144531, 602.0521974563599)
(717.0676422119141, 605.3363800048828)
(718.3029937744141, 603.8370895385742)
(714.9142456054688, 602.3542356491089)
(714.0934753417969, 603.4108972549438)
(714.9213409423828, 604.27903175354)
(714.4483947753906, 603.917727470398)
(708.5823059082031, 600.5946636199951)
