(649.9760437011719, 551.5543556213379)
(656.5204620361328, 553.5605192184448)
(718.5335540771484, 514.3082141876221)
(725.2806091308594, 523.0796813964844)
(717.5543975830078, 537.2266817092896)
(711.4255523681641, 544.3356084823608)
(711.25244140625, 544.1524457931519)
(724.3491363525391, 510.13452529907227)
(768.3301544189453, 494.8366641998291)
(752.2365570068359, 493.7253713607788)
(749.6257019042969, 487.72271633148193)
(748.3184051513672, 486.5358066558838)
(746.1385345458984, 486.01627349853516)
(750.6925201416016, 490.99462509155273)
(750.4066467285156, 490.1139163970947)
(749.7837829589844, 495.06754875183105)
(748.4872436523438, 496.7895698547363)
(747.9161834716797, 494.0352201461792)
(747.3814392089844, 494.75250720977783)
(746.6936492919922, 497.53934383392334)
(746.8199920654297, 498.29383850097656)
(747.6514434814453, 497.75683879852295)
(749.3006134033203, 497.8923225402832)
(749.8305511474609, 500.3103017807007)
(749.5957183837891, 497.6172351837158)
(750.4461669921875, 501.01823329925537)
(749.3404388427734, 502.7145051956177)
(748.0336761474609, 500.7814693450928)
(746.9375610351562, 501.0449695587158)
(746.1309051513672, 501.53780937194824)
(747.9447937011719, 502.93212890625)
(746.6117095947266, 501.8448257446289)
(747.0625305175781, 502.625412940979)
(748.3684539794922, 504.6233797073364)
(748.1796264648438, 502.077898979187)
(749.5720672607422, 500.89330673217773)
(749.8091125488281, 502.9239320755005)
(748.782958984375, 506.1753273010254)
(749.5128631591797, 505.42855739593506)
(748.1519317626953, 502.39203929901123)
(746.6917419433594, 504.13654804229736)
(747.6985931396484, 502.968692779541)
(747.2608947753906, 503.61559867858887)
(742.5755310058594, 500.22979259490967)
(768.3301544189453, 494.8366641998291)
(752.2365570068359, 493.7253713607788)
(749.6257019042969, 487.72271633148193)
(748.3184051513672, 486.5358066558838)
(746.1385345458984, 486.01627349853516)
(750.6925201416016, 490.99462509155273)
(750.4066467285156, 490.1139163970947)
(749.7837829589844, 495.06754875183105)
(748.4872436523438, 496.7895698547363)
(747.9161834716797, 494.0352201461792)
(747.3814392089844, 494.75250720977783)
(746.6936492919922, 497.53934383392334)
(746.8199920654297, 498.29383850097656)
(747.6514434814453, 497.75683879852295)
(749.3006134033203, 497.8923225402832)
(749.8305511474609, 500.3103017807007)
(749.5957183837891, 497.6172351837158)
(750.4461669921875, 501.01823329925537)
(749.3404388427734, 502.7145051956177)
(748.0336761474609, 500.7814693450928)
(746.9375610351562, 501.0449695587158)
(746.1309051513672, 501.53780937194824)
(747.9447937011719, 502.93212890625)
(746.6117095947266, 501.8448257446289)
(747.0625305175781, 502.625412940979)
(748.3684539794922, 504.6233797073364)
(748.1796264648438, 502.077898979187)
(749.5720672607422, 500.89330673217773)
(749.8091125488281, 502.9239320755005)
(748.782958984375, 506.1753273010254)
(749.5128631591797, 505.42855739593506)
(748.1519317626953, 502.39203929901123)
(746.6917419433594, 504.13654804229736)
(747.6985931396484, 502.968692779541)
(747.2608947753906, 503.61559867858887)
(742.5755310058594, 500.22979259490967)
