(490.1387405395508, 445.01800060272217)
(488.7968063354492, 449.3967819213867)
(572.1031951904297, 404.21945571899414)
(577.3042297363281, 414.2853784561157)
(560.6821060180664, 425.93663692474365)
(552.186164855957, 434.67784881591797)
(551.0472869873047, 433.80585193634033)
(578.098258972168, 396.9938850402832)
(581.0937118530273, 400.8706855773926)
(566.0709381103516, 408.11848640441895)
(567.1387481689453, 406.9893407821655)
(564.1236877441406, 410.0977420806885)
(564.5086669921875, 407.5415325164795)
(566.9167327880859, 409.4733238220215)
(566.1497497558594, 407.6812219619751)
(564.2316055297852, 411.3201856613159)
(562.6512145996094, 410.7436180114746)
(562.8235244750977, 408.8688611984253)
(560.2611541748047, 410.2320671081543)
(560.2731704711914, 411.05488300323486)
(561.0429382324219, 411.0247564315796)
(565.4146957397461, 411.6900300979614)
(567.2144317626953, 412.9026460647583)
(566.135368347168, 413.7842559814453)
(565.5792236328125, 413.50637912750244)
(565.4095458984375, 413.34797859191895)
(565.6757354736328, 414.66543674468994)
(562.5772857666016, 414.79122161865234)
(560.5376434326172, 415.18604278564453)
(560.9257125854492, 415.31925201416016)
(560.6304931640625, 416.31239891052246)
(561.9390487670898, 413.7951993942261)
(561.2129211425781, 415.65622329711914)
(565.936279296875, 416.4627742767334)
(565.2030944824219, 416.44891262054443)
(566.2960815429688, 417.4546766281128)
(565.839958190918, 417.5951814651489)
(565.3665161132812, 417.33502864837646)
(566.0745620727539, 418.48610401153564)
(564.0294647216797, 416.8664789199829)
(562.9064559936523, 417.97322273254395)
(562.6997756958008, 417.0698118209839)
(561.9702529907227, 416.7512512207031)
(556.5701293945312, 416.2142515182495)
(581.0937118530273, 400.8706855773926)
(566.0709381103516, 408.11848640441895)
(567.1387481689453, 406.9893407821655)
(564.1236877441406, 410.0977420806885)
(564.5086669921875, 407.5415325164795)
(566.9167327880859, 409.4733238220215)
(566.1497497558594, 407.6812219619751)
(564.2316055297852, 411.3201856613159)
(562.6512145996094, 410.7436180114746)
(562.8235244750977, 408.8688611984253)
(560.2611541748047, 410.2320671081543)
(560.2731704711914, 411.05488300323486)
(561.0429382324219, 411.0247564315796)
(565.4146957397461, 411.6900300979614)
(567.2144317626953, 412.9026460647583)
(566.135368347168, 413.7842559814453)
(565.5792236328125, 413.50637912750244)
(565.4095458984375, 413.34797859191895)
(565.6757354736328, 414.66543674468994)
(562.5772857666016, 414.79122161865234)
(560.5376434326172, 415.18604278564453)
(560.9257125854492, 415.31925201416016)
(560.6304931640625, 416.31239891052246)
(561.9390487670898, 413.7951993942261)
(561.2129211425781, 415.65622329711914)
(565.936279296875, 416.4627742767334)
(565.2030944824219, 416.44891262054443)
(566.2960815429688, 417.4546766281128)
(565.839958190918, 417.5951814651489)
(565.3665161132812, 417.33502864837646)
(566.0745620727539, 418.48610401153564)
(564.0294647216797, 416.8664789199829)
(562.9064559936523, 417.97322273254395)
(562.6997756958008, 417.0698118209839)
(561.9702529907227, 416.7512512207031)
(556.5701293945312, 416.2142515182495)
